Month of Period End,Region,Avg. Median Sale Price
September 2017,"San Diego, CA - Western San Diego",$554K
October 2017,"San Diego, CA - Western San Diego",$565K
November 2017,"San Diego, CA - Western San Diego",$558K
December 2017,"San Diego, CA - Western San Diego",$583K
January 2018,"San Diego, CA - Western San Diego",$575K
February 2018,"San Diego, CA - Western San Diego",$570K
March 2018,"San Diego, CA - Western San Diego",$575K
April 2018,"San Diego, CA - Western San Diego",$582K
May 2018,"San Diego, CA - Western San Diego",$590K
June 2018,"San Diego, CA - Western San Diego",$585K
July 2018,"San Diego, CA - Western San Diego",$585K
August 2018,"San Diego, CA - Western San Diego",$591K
September 2018,"San Diego, CA - Western San Diego",$585K
October 2018,"San Diego, CA - Western San Diego",$590K
November 2018,"San Diego, CA - Western San Diego",$604K
December 2018,"San Diego, CA - Western San Diego",$625K
January 2019,"San Diego, CA - Western San Diego",$625K
February 2019,"San Diego, CA - Western San Diego",$616K
March 2019,"San Diego, CA - Western San Diego",$599K
April 2019,"San Diego, CA - Western San Diego",$590K
May 2019,"San Diego, CA - Western San Diego",$595K
June 2019,"San Diego, CA - Western San Diego",$575K
July 2019,"San Diego, CA - Western San Diego",$569K
August 2019,"San Diego, CA - Western San Diego",$593K
September 2019,"San Diego, CA - Western San Diego",$598K
October 2019,"San Diego, CA - Western San Diego",$611K
November 2019,"San Diego, CA - Western San Diego",$600K
December 2019,"San Diego, CA - Western San Diego",$609K
January 2020,"San Diego, CA - Western San Diego",$621K
February 2020,"San Diego, CA - Western San Diego",$610K
March 2020,"San Diego, CA - Western San Diego",$630K
April 2020,"San Diego, CA - Western San Diego",$627K
May 2020,"San Diego, CA - Western San Diego",$630K
June 2020,"San Diego, CA - Western San Diego",$583K
July 2020,"San Diego, CA - Western San Diego",$600K
August 2020,"San Diego, CA - Western San Diego",$614K
September 2020,"San Diego, CA - Western San Diego",$649K
October 2020,"San Diego, CA - Western San Diego",$650K
November 2020,"San Diego, CA - Western San Diego",$625K
December 2020,"San Diego, CA - Western San Diego",$620K
January 2021,"San Diego, CA - Western San Diego",$618K
February 2021,"San Diego, CA - Western San Diego",$674K
March 2021,"San Diego, CA - Western San Diego",$695K
April 2021,"San Diego, CA - Western San Diego",$690K
May 2021,"San Diego, CA - Western San Diego",$690K
June 2021,"San Diego, CA - Western San Diego",$703K
July 2021,"San Diego, CA - Western San Diego",$727K
August 2021,"San Diego, CA - Western San Diego",$725K
September 2021,"San Diego, CA - Western San Diego",$715K
October 2021,"San Diego, CA - Western San Diego",$738K
November 2021,"San Diego, CA - Western San Diego",$751K
February 2012,"San Diego, CA - Webster",$201K
March 2012,"San Diego, CA - Webster",$206K
April 2012,"San Diego, CA - Webster",$232K
May 2012,"San Diego, CA - Webster",$228K
June 2012,"San Diego, CA - Webster",$229K
July 2012,"San Diego, CA - Webster",$228K
August 2012,"San Diego, CA - Webster",$230K
September 2012,"San Diego, CA - Webster",$183K
October 2012,"San Diego, CA - Webster",$218K
November 2012,"San Diego, CA - Webster",$255K
December 2012,"San Diego, CA - Webster",$259K
January 2013,"San Diego, CA - Webster",$275K
February 2013,"San Diego, CA - Webster",$258K
March 2013,"San Diego, CA - Webster",$280K
April 2013,"San Diego, CA - Webster",$263K
