Month of Period End,Region,Avg. Median Sale Price
May 2012,"San Diego, CA - Marina",$500K
June 2012,"San Diego, CA - Marina",$500K
July 2012,"San Diego, CA - Marina",$577K
August 2012,"San Diego, CA - Marina",$605K
September 2012,"San Diego, CA - Marina",$530K
October 2012,"San Diego, CA - Marina",$489K
November 2012,"San Diego, CA - Marina",$458K
December 2012,"San Diego, CA - Marina",$465K
January 2013,"San Diego, CA - Marina",$503K
February 2013,"San Diego, CA - Marina",$528K
March 2013,"San Diego, CA - Marina",$578K
April 2013,"San Diego, CA - Marina",$560K
May 2013,"San Diego, CA - Marina",$612K
June 2013,"San Diego, CA - Marina",$592K
July 2013,"San Diego, CA - Marina",$612K
August 2013,"San Diego, CA - Marina",$688K
September 2013,"San Diego, CA - Marina",$690K
October 2013,"San Diego, CA - Marina",$688K
November 2013,"San Diego, CA - Marina",$594K
December 2013,"San Diego, CA - Marina",$585K
January 2014,"San Diego, CA - Marina",$610K
February 2014,"San Diego, CA - Marina",$595K
March 2014,"San Diego, CA - Marina",$678K
April 2014,"San Diego, CA - Marina",$700K
May 2014,"San Diego, CA - Marina",$758K
June 2014,"San Diego, CA - Marina",$660K
July 2014,"San Diego, CA - Marina",$594K
August 2014,"San Diego, CA - Marina",$575K
September 2014,"San Diego, CA - Marina",$601K
October 2014,"San Diego, CA - Marina",$589K
November 2014,"San Diego, CA - Marina",$604K
December 2014,"San Diego, CA - Marina",$580K
January 2015,"San Diego, CA - Marina",$581K
February 2015,"San Diego, CA - Marina",$589K
March 2015,"San Diego, CA - Marina",$625K
April 2015,"San Diego, CA - Marina",$625K
May 2015,"San Diego, CA - Marina",$602K
June 2015,"San Diego, CA - Marina",$657K
July 2015,"San Diego, CA - Marina",$645K
August 2015,"San Diego, CA - Marina",$645K
September 2015,"San Diego, CA - Marina",$596K
October 2015,"San Diego, CA - Marina",$600K
November 2015,"San Diego, CA - Marina",$620K
December 2015,"San Diego, CA - Marina",$689K
January 2016,"San Diego, CA - Marina",$652K
February 2016,"San Diego, CA - Marina",$619K
March 2016,"San Diego, CA - Marina",$613K
April 2016,"San Diego, CA - Marina",$613K
May 2016,"San Diego, CA - Marina",$590K
June 2016,"San Diego, CA - Marina",$586K
July 2016,"San Diego, CA - Marina",$635K
August 2016,"San Diego, CA - Marina",$602K
September 2016,"San Diego, CA - Marina",$600K
October 2016,"San Diego, CA - Marina",$599K
November 2016,"San Diego, CA - Marina",$609K
December 2016,"San Diego, CA - Marina",$681K
January 2017,"San Diego, CA - Marina",$671K
February 2017,"San Diego, CA - Marina",$690K
March 2017,"San Diego, CA - Marina",$615K
April 2017,"San Diego, CA - Marina",$602K
May 2017,"San Diego, CA - Marina",$629K
June 2017,"San Diego, CA - Marina",$617K
July 2017,"San Diego, CA - Marina",$695K
August 2017,"San Diego, CA - Marina",$695K
September 2017,"San Diego, CA - Marina",$693K
October 2017,"San Diego, CA - Marina",$647K
November 2017,"San Diego, CA - Marina",$609K
December 2017,"San Diego, CA - Marina",$642K
January 2018,"San Diego, CA - Marina",$665K
February 2018,"San Diego, CA - Marina",$685K
March 2018,"San Diego, CA - Marina",$639K
April 2018,"San Diego, CA - Marina",$631K
May 2018,"San Diego, CA - Marina",$640K
June 2018,"San Diego, CA - Marina",$668K
July 2018,"San Diego, CA - Marina",$730K
August 2018,"San Diego, CA - Marina",$750K
September 2018,"San Diego, CA - Marina",$701K
October 2018,"San Diego, CA - Marina",$701K
November 2018,"San Diego, CA - Marina",$701K
December 2018,"San Diego, CA - Marina",$725K
January 2019,"San Diego, CA - Marina",$698K
February 2019,"San Diego, CA - Marina",$650K
March 2019,"San Diego, CA - Marina",$640K
April 2019,"San Diego, CA - Marina",$695K
May 2019,"San Diego, CA - Marina",$695K
June 2019,"San Diego, CA - Marina",$675K
July 2019,"San Diego, CA - Marina",$675K
August 2019,"San Diego, CA - Marina",$677K
September 2019,"San Diego, CA - Marina",$715K
October 2019,"San Diego, CA - Marina",$670K
November 2019,"San Diego, CA - Marina",$661K
December 2019,"San Diego, CA - Marina",$605K
January 2020,"San Diego, CA - Marina",$600K
February 2020,"San Diego, CA - Marina",$635K
March 2020,"San Diego, CA - Marina",$685K
April 2020,"San Diego, CA - Marina",$743K
May 2020,"San Diego, CA - Marina",$720K
June 2020,"San Diego, CA - Marina",$665K
July 2020,"San Diego, CA - Marina",$685K
August 2020,"San Diego, CA - Marina",$706K
September 2020,"San Diego, CA - Marina",$717K
October 2020,"San Diego, CA - Marina",$690K
November 2020,"San Diego, CA - Marina",$662K
December 2020,"San Diego, CA - Marina",$654K
January 2021,"San Diego, CA - Marina",$624K
February 2021,"San Diego, CA - Marina",$660K
March 2021,"San Diego, CA - Marina",$670K
April 2021,"San Diego, CA - Marina",$702K
May 2021,"San Diego, CA - Marina",$714K
June 2021,"San Diego, CA - Marina",$748K
July 2021,"San Diego, CA - Marina",$760K
August 2021,"San Diego, CA - Marina",$761K
September 2021,"San Diego, CA - Marina",$750K
October 2021,"San Diego, CA - Marina",$749K
November 2021,"San Diego, CA - Marina",$758K
February 2012,"San Diego, CA - Lower Hermosa","$3,000K"
March 2012,"San Diego, CA - Lower Hermosa","$3,161K"
April 2012,"San Diego, CA - Lower Hermosa","$4,323K"
May 2012,"San Diego, CA - Lower Hermosa","$2,000K"
June 2012,"San Diego, CA - Lower Hermosa","$2,000K"
July 2012,"San Diego, CA - Lower Hermosa","$2,000K"
August 2012,"San Diego, CA - Lower Hermosa",$947K
September 2012,"San Diego, CA - Lower Hermosa","$1,737K"
October 2012,"San Diego, CA - Lower Hermosa","$2,527K"
November 2012,"San Diego, CA - Lower Hermosa","$8,550K"
December 2012,"San Diego, CA - Lower Hermosa","$5,725K"
January 2013,"San Diego, CA - Lower Hermosa","$5,450K"
February 2013,"San Diego, CA - Lower Hermosa","$4,550K"
March 2013,"San Diego, CA - Lower Hermosa","$12,000K"
April 2013,"San Diego, CA - Lower Hermosa","$12,000K"
May 2013,"San Diego, CA - Lower Hermosa","$7,880K"
June 2013,"San Diego, CA - Lower Hermosa","$3,760K"
July 2013,"San Diego, CA - Lower Hermosa","$3,760K"
August 2013,"San Diego, CA - Lower Hermosa","$2,775K"
September 2013,"San Diego, CA - Lower Hermosa","$2,400K"
October 2013,"San Diego, CA - Lower Hermosa","$2,400K"
November 2013,"San Diego, CA - Lower Hermosa","$3,019K"
December 2013,"San Diego, CA - Lower Hermosa","$10,132K"
January 2014,"San Diego, CA - Lower Hermosa","$7,800K"
February 2014,"San Diego, CA - Lower Hermosa","$7,800K"
March 2014,"San Diego, CA - Lower Hermosa","$6,000K"
April 2014,"San Diego, CA - Lower Hermosa","$5,620K"
May 2014,"San Diego, CA - Lower Hermosa","$5,810K"
June 2014,"San Diego, CA - Lower Hermosa","$4,500K"
July 2014,"San Diego, CA - Lower Hermosa","$2,600K"
August 2014,"San Diego, CA - Lower Hermosa","$2,600K"
September 2014,"San Diego, CA - Lower Hermosa","$2,600K"
November 2014,"San Diego, CA - Lower Hermosa","$4,675K"
December 2014,"San Diego, CA - Lower Hermosa","$5,500K"
January 2015,"San Diego, CA - Lower Hermosa","$4,325K"
February 2015,"San Diego, CA - Lower Hermosa","$5,500K"
March 2015,"San Diego, CA - Lower Hermosa","$8,500K"
April 2015,"San Diego, CA - Lower Hermosa","$8,500K"
May 2015,"San Diego, CA - Lower Hermosa","$3,363K"
June 2015,"San Diego, CA - Lower Hermosa","$2,495K"
July 2015,"San Diego, CA - Lower Hermosa","$2,863K"
August 2015,"San Diego, CA - Lower Hermosa","$2,833K"
September 2015,"San Diego, CA - Lower Hermosa","$7,825K"
October 2015,"San Diego, CA - Lower Hermosa","$8,295K"
November 2015,"San Diego, CA - Lower Hermosa","$8,295K"
December 2015,"San Diego, CA - Lower Hermosa","$5,498K"
March 2016,"San Diego, CA - Lower Hermosa","$4,450K"
April 2016,"San Diego, CA - Lower Hermosa","$5,263K"
May 2016,"San Diego, CA - Lower Hermosa","$4,450K"
June 2016,"San Diego, CA - Lower Hermosa","$4,750K"
July 2016,"San Diego, CA - Lower Hermosa","$3,425K"
August 2016,"San Diego, CA - Lower Hermosa","$2,600K"
September 2016,"San Diego, CA - Lower Hermosa","$2,600K"
October 2016,"San Diego, CA - Lower Hermosa","$2,600K"
November 2016,"San Diego, CA - Lower Hermosa","$3,298K"
December 2016,"San Diego, CA - Lower Hermosa","$15,000K"
January 2017,"San Diego, CA - Lower Hermosa","$15,000K"
February 2017,"San Diego, CA - Lower Hermosa","$12,000K"
March 2017,"San Diego, CA - Lower Hermosa","$5,689K"
April 2017,"San Diego, CA - Lower Hermosa","$2,565K"
May 2017,"San Diego, CA - Lower Hermosa","$2,805K"
June 2017,"San Diego, CA - Lower Hermosa","$2,510K"
July 2017,"San Diego, CA - Lower Hermosa","$3,923K"
August 2017,"San Diego, CA - Lower Hermosa","$4,813K"
September 2017,"San Diego, CA - Lower Hermosa","$4,813K"
October 2017,"San Diego, CA - Lower Hermosa","$4,425K"
November 2017,"San Diego, CA - Lower Hermosa","$5,500K"
December 2017,"San Diego, CA - Lower Hermosa","$5,500K"
January 2018,"San Diego, CA - Lower Hermosa","$5,498K"
February 2018,"San Diego, CA - Lower Hermosa","$4,967K"
March 2018,"San Diego, CA - Lower Hermosa","$4,437K"
April 2018,"San Diego, CA - Lower Hermosa","$3,813K"
May 2018,"San Diego, CA - Lower Hermosa","$3,679K"
June 2018,"San Diego, CA - Lower Hermosa","$3,679K"
July 2018,"San Diego, CA - Lower Hermosa","$3,461K"
August 2018,"San Diego, CA - Lower Hermosa","$3,208K"
September 2018,"San Diego, CA - Lower Hermosa","$3,875K"
October 2018,"San Diego, CA - Lower Hermosa","$4,275K"
November 2018,"San Diego, CA - Lower Hermosa","$5,025K"
December 2018,"San Diego, CA - Lower Hermosa","$5,025K"
January 2019,"San Diego, CA - Lower Hermosa","$5,794K"
February 2019,"San Diego, CA - Lower Hermosa","$5,794K"
March 2019,"San Diego, CA - Lower Hermosa","$5,794K"
June 2019,"San Diego, CA - Lower Hermosa","$2,875K"
July 2019,"San Diego, CA - Lower Hermosa","$2,875K"
August 2019,"San Diego, CA - Lower Hermosa","$2,875K"
September 2019,"San Diego, CA - Lower Hermosa","$2,720K"
October 2019,"San Diego, CA - Lower Hermosa","$2,720K"
November 2019,"San Diego, CA - Lower Hermosa","$3,790K"
December 2019,"San Diego, CA - Lower Hermosa","$3,970K"
January 2020,"San Diego, CA - Lower Hermosa","$3,970K"
February 2020,"San Diego, CA - Lower Hermosa","$3,080K"
March 2020,"San Diego, CA - Lower Hermosa","$5,830K"
April 2020,"San Diego, CA - Lower Hermosa","$3,362K"
May 2020,"San Diego, CA - Lower Hermosa","$3,362K"
June 2020,"San Diego, CA - Lower Hermosa","$2,874K"
July 2020,"San Diego, CA - Lower Hermosa","$2,091K"
August 2020,"San Diego, CA - Lower Hermosa","$2,385K"
September 2020,"San Diego, CA - Lower Hermosa","$6,750K"
October 2020,"San Diego, CA - Lower Hermosa","$6,750K"
November 2020,"San Diego, CA - Lower Hermosa","$5,722K"
December 2020,"San Diego, CA - Lower Hermosa","$4,425K"
March 2021,"San Diego, CA - Lower Hermosa","$4,082K"
April 2021,"San Diego, CA - Lower Hermosa","$3,551K"
May 2021,"San Diego, CA - Lower Hermosa","$3,551K"
June 2021,"San Diego, CA - Lower Hermosa","$4,750K"
July 2021,"San Diego, CA - Lower Hermosa","$5,580K"
August 2021,"San Diego, CA - Lower Hermosa","$10,450K"
September 2021,"San Diego, CA - Lower Hermosa","$7,500K"
October 2021,"San Diego, CA - Lower Hermosa","$6,000K"
November 2021,"San Diego, CA - Lower Hermosa","$5,200K"
February 2012,"San Diego, CA - Lomita",$193K
March 2012,"San Diego, CA - Lomita",$183K
April 2012,"San Diego, CA - Lomita",$180K
May 2012,"San Diego, CA - Lomita",$202K
June 2012,"San Diego, CA - Lomita",$238K
July 2012,"San Diego, CA - Lomita",$230K
August 2012,"San Diego, CA - Lomita",$225K
September 2012,"San Diego, CA - Lomita",$213K
October 2012,"San Diego, CA - Lomita",$220K
November 2012,"San Diego, CA - Lomita",$200K
December 2012,"San Diego, CA - Lomita",$250K
January 2013,"San Diego, CA - Lomita",$252K
February 2013,"San Diego, CA - Lomita",$262K
March 2013,"San Diego, CA - Lomita",$278K
April 2013,"San Diego, CA - Lomita",$275K
May 2013,"San Diego, CA - Lomita",$253K
June 2013,"San Diego, CA - Lomita",$270K
July 2013,"San Diego, CA - Lomita",$283K
August 2013,"San Diego, CA - Lomita",$308K
September 2013,"San Diego, CA - Lomita",$306K
October 2013,"San Diego, CA - Lomita",$305K
November 2013,"San Diego, CA - Lomita",$282K
December 2013,"San Diego, CA - Lomita",$282K
January 2014,"San Diego, CA - Lomita",$300K
February 2014,"San Diego, CA - Lomita",$305K
March 2014,"San Diego, CA - Lomita",$314K
April 2014,"San Diego, CA - Lomita",$313K
May 2014,"San Diego, CA - Lomita",$314K
June 2014,"San Diego, CA - Lomita",$311K
July 2014,"San Diego, CA - Lomita",$318K
August 2014,"San Diego, CA - Lomita",$288K
September 2014,"San Diego, CA - Lomita",$290K
October 2014,"San Diego, CA - Lomita",$290K
November 2014,"San Diego, CA - Lomita",$295K
December 2014,"San Diego, CA - Lomita",$334K
January 2015,"San Diego, CA - Lomita",$334K
February 2015,"San Diego, CA - Lomita",$330K
March 2015,"San Diego, CA - Lomita",$325K
April 2015,"San Diego, CA - Lomita",$318K
May 2015,"San Diego, CA - Lomita",$325K
June 2015,"San Diego, CA - Lomita",$320K
July 2015,"San Diego, CA - Lomita",$335K
August 2015,"San Diego, CA - Lomita",$340K
September 2015,"San Diego, CA - Lomita",$347K
October 2015,"San Diego, CA - Lomita",$351K
November 2015,"San Diego, CA - Lomita",$355K
December 2015,"San Diego, CA - Lomita",$359K
January 2016,"San Diego, CA - Lomita",$351K
February 2016,"San Diego, CA - Lomita",$340K
March 2016,"San Diego, CA - Lomita",$351K
April 2016,"San Diego, CA - Lomita",$353K
May 2016,"San Diego, CA - Lomita",$360K
June 2016,"San Diego, CA - Lomita",$375K
July 2016,"San Diego, CA - Lomita",$360K
August 2016,"San Diego, CA - Lomita",$368K
September 2016,"San Diego, CA - Lomita",$355K
October 2016,"San Diego, CA - Lomita",$365K
November 2016,"San Diego, CA - Lomita",$323K
December 2016,"San Diego, CA - Lomita",$375K
January 2017,"San Diego, CA - Lomita",$368K
February 2017,"San Diego, CA - Lomita",$380K
March 2017,"San Diego, CA - Lomita",$378K
April 2017,"San Diego, CA - Lomita",$400K
May 2017,"San Diego, CA - Lomita",$410K
June 2017,"San Diego, CA - Lomita",$420K
July 2017,"San Diego, CA - Lomita",$420K
August 2017,"San Diego, CA - Lomita",$423K
September 2017,"San Diego, CA - Lomita",$405K
October 2017,"San Diego, CA - Lomita",$399K
November 2017,"San Diego, CA - Lomita",$388K
December 2017,"San Diego, CA - Lomita",$407K
January 2018,"San Diego, CA - Lomita",$418K
February 2018,"San Diego, CA - Lomita",$418K
March 2018,"San Diego, CA - Lomita",$395K
April 2018,"San Diego, CA - Lomita",$398K
May 2018,"San Diego, CA - Lomita",$425K
June 2018,"San Diego, CA - Lomita",$430K
July 2018,"San Diego, CA - Lomita",$446K
August 2018,"San Diego, CA - Lomita",$446K
September 2018,"San Diego, CA - Lomita",$435K
October 2018,"San Diego, CA - Lomita",$410K
November 2018,"San Diego, CA - Lomita",$405K
December 2018,"San Diego, CA - Lomita",$407K
January 2019,"San Diego, CA - Lomita",$408K
February 2019,"San Diego, CA - Lomita",$405K
March 2019,"San Diego, CA - Lomita",$419K
April 2019,"San Diego, CA - Lomita",$434K
May 2019,"San Diego, CA - Lomita",$460K
June 2019,"San Diego, CA - Lomita",$458K
July 2019,"San Diego, CA - Lomita",$454K
August 2019,"San Diego, CA - Lomita",$453K
September 2019,"San Diego, CA - Lomita",$450K
October 2019,"San Diego, CA - Lomita",$450K
November 2019,"San Diego, CA - Lomita",$449K
December 2019,"San Diego, CA - Lomita",$500K
January 2020,"San Diego, CA - Lomita",$510K
February 2020,"San Diego, CA - Lomita",$497K
March 2020,"San Diego, CA - Lomita",$486K
April 2020,"San Diego, CA - Lomita",$490K
May 2020,"San Diego, CA - Lomita",$512K
June 2020,"San Diego, CA - Lomita",$497K
July 2020,"San Diego, CA - Lomita",$495K
August 2020,"San Diego, CA - Lomita",$495K
September 2020,"San Diego, CA - Lomita",$516K
October 2020,"San Diego, CA - Lomita",$524K
November 2020,"San Diego, CA - Lomita",$522K
December 2020,"San Diego, CA - Lomita",$476K
January 2021,"San Diego, CA - Lomita",$528K
February 2021,"San Diego, CA - Lomita",$595K
March 2021,"San Diego, CA - Lomita",$595K
April 2021,"San Diego, CA - Lomita",$590K
May 2021,"San Diego, CA - Lomita",$583K
June 2021,"San Diego, CA - Lomita",$580K
July 2021,"San Diego, CA - Lomita",$602K
August 2021,"San Diego, CA - Lomita",$618K
September 2021,"San Diego, CA - Lomita",$618K
October 2021,"San Diego, CA - Lomita",$603K
November 2021,"San Diego, CA - Lomita",$608K
February 2012,"San Diego, CA - Loma Palisades",$218K
March 2012,"San Diego, CA - Loma Palisades",$238K
April 2012,"San Diego, CA - Loma Palisades",$225K
May 2012,"San Diego, CA - Loma Palisades",$287K
June 2012,"San Diego, CA - Loma Palisades",$287K
July 2012,"San Diego, CA - Loma Palisades",$290K
August 2012,"San Diego, CA - Loma Palisades",$242K
September 2012,"San Diego, CA - Loma Palisades",$320K
October 2012,"San Diego, CA - Loma Palisades",$266K
November 2012,"San Diego, CA - Loma Palisades",$284K
December 2012,"San Diego, CA - Loma Palisades",$195K
January 2013,"San Diego, CA - Loma Palisades",$285K
February 2013,"San Diego, CA - Loma Palisades",$285K
March 2013,"San Diego, CA - Loma Palisades",$331K
April 2013,"San Diego, CA - Loma Palisades",$295K
May 2013,"San Diego, CA - Loma Palisades",$259K
June 2013,"San Diego, CA - Loma Palisades",$230K
July 2013,"San Diego, CA - Loma Palisades",$321K
August 2013,"San Diego, CA - Loma Palisades",$322K
September 2013,"San Diego, CA - Loma Palisades",$305K
October 2013,"San Diego, CA - Loma Palisades",$279K
November 2013,"San Diego, CA - Loma Palisades",$287K
December 2013,"San Diego, CA - Loma Palisades",$300K
January 2014,"San Diego, CA - Loma Palisades",$305K
February 2014,"San Diego, CA - Loma Palisades",$285K
March 2014,"San Diego, CA - Loma Palisades",$293K
April 2014,"San Diego, CA - Loma Palisades",$301K
May 2014,"San Diego, CA - Loma Palisades",$353K
June 2014,"San Diego, CA - Loma Palisades",$354K
July 2014,"San Diego, CA - Loma Palisades",$344K
August 2014,"San Diego, CA - Loma Palisades",$345K
September 2014,"San Diego, CA - Loma Palisades",$327K
October 2014,"San Diego, CA - Loma Palisades",$330K
November 2014,"San Diego, CA - Loma Palisades",$315K
December 2014,"San Diego, CA - Loma Palisades",$355K
January 2015,"San Diego, CA - Loma Palisades",$384K
February 2015,"San Diego, CA - Loma Palisades",$360K
March 2015,"San Diego, CA - Loma Palisades",$363K
April 2015,"San Diego, CA - Loma Palisades",$379K
May 2015,"San Diego, CA - Loma Palisades",$380K
June 2015,"San Diego, CA - Loma Palisades",$377K
July 2015,"San Diego, CA - Loma Palisades",$359K
August 2015,"San Diego, CA - Loma Palisades",$359K
September 2015,"San Diego, CA - Loma Palisades",$368K
October 2015,"San Diego, CA - Loma Palisades",$350K
November 2015,"San Diego, CA - Loma Palisades",$345K
December 2015,"San Diego, CA - Loma Palisades",$338K
January 2016,"San Diego, CA - Loma Palisades",$330K
February 2016,"San Diego, CA - Loma Palisades",$335K
March 2016,"San Diego, CA - Loma Palisades",$325K
April 2016,"San Diego, CA - Loma Palisades",$335K
May 2016,"San Diego, CA - Loma Palisades",$300K
June 2016,"San Diego, CA - Loma Palisades",$295K
July 2016,"San Diego, CA - Loma Palisades",$400K
August 2016,"San Diego, CA - Loma Palisades",$325K
September 2016,"San Diego, CA - Loma Palisades",$399K
October 2016,"San Diego, CA - Loma Palisades",$393K
November 2016,"San Diego, CA - Loma Palisades",$433K
December 2016,"San Diego, CA - Loma Palisades",$368K
January 2017,"San Diego, CA - Loma Palisades",$350K
February 2017,"San Diego, CA - Loma Palisades",$276K
March 2017,"San Diego, CA - Loma Palisades",$357K
April 2017,"San Diego, CA - Loma Palisades",$361K
May 2017,"San Diego, CA - Loma Palisades",$413K
June 2017,"San Diego, CA - Loma Palisades",$413K
July 2017,"San Diego, CA - Loma Palisades",$440K
August 2017,"San Diego, CA - Loma Palisades",$446K
September 2017,"San Diego, CA - Loma Palisades",$455K
October 2017,"San Diego, CA - Loma Palisades",$447K
November 2017,"San Diego, CA - Loma Palisades",$442K
December 2017,"San Diego, CA - Loma Palisades",$420K
January 2018,"San Diego, CA - Loma Palisades",$439K
February 2018,"San Diego, CA - Loma Palisades",$445K
March 2018,"San Diego, CA - Loma Palisades",$447K
April 2018,"San Diego, CA - Loma Palisades",$437K
May 2018,"San Diego, CA - Loma Palisades",$420K
June 2018,"San Diego, CA - Loma Palisades",$449K
July 2018,"San Diego, CA - Loma Palisades",$456K
August 2018,"San Diego, CA - Loma Palisades",$450K
September 2018,"San Diego, CA - Loma Palisades",$408K
October 2018,"San Diego, CA - Loma Palisades",$423K
November 2018,"San Diego, CA - Loma Palisades",$455K
December 2018,"San Diego, CA - Loma Palisades",$447K
January 2019,"San Diego, CA - Loma Palisades",$450K
February 2019,"San Diego, CA - Loma Palisades",$447K
March 2019,"San Diego, CA - Loma Palisades",$427K
April 2019,"San Diego, CA - Loma Palisades",$409K
May 2019,"San Diego, CA - Loma Palisades",$408K
June 2019,"San Diego, CA - Loma Palisades",$410K
July 2019,"San Diego, CA - Loma Palisades",$410K
August 2019,"San Diego, CA - Loma Palisades",$475K
September 2019,"San Diego, CA - Loma Palisades",$460K
October 2019,"San Diego, CA - Loma Palisades",$460K
November 2019,"San Diego, CA - Loma Palisades",$458K
December 2019,"San Diego, CA - Loma Palisades",$498K
January 2020,"San Diego, CA - Loma Palisades",$510K
February 2020,"San Diego, CA - Loma Palisades",$565K
March 2020,"San Diego, CA - Loma Palisades",$518K
April 2020,"San Diego, CA - Loma Palisades",$518K
May 2020,"San Diego, CA - Loma Palisades",$450K
June 2020,"San Diego, CA - Loma Palisades",$437K
July 2020,"San Diego, CA - Loma Palisades",$439K
August 2020,"San Diego, CA - Loma Palisades",$500K
September 2020,"San Diego, CA - Loma Palisades",$500K
October 2020,"San Diego, CA - Loma Palisades",$508K
November 2020,"San Diego, CA - Loma Palisades",$468K
December 2020,"San Diego, CA - Loma Palisades",$513K
January 2021,"San Diego, CA - Loma Palisades",$487K
February 2021,"San Diego, CA - Loma Palisades",$500K
March 2021,"San Diego, CA - Loma Palisades",$492K
April 2021,"San Diego, CA - Loma Palisades",$564K
May 2021,"San Diego, CA - Loma Palisades",$567K
June 2021,"San Diego, CA - Loma Palisades",$620K
July 2021,"San Diego, CA - Loma Palisades",$660K
August 2021,"San Diego, CA - Loma Palisades",$652K
September 2021,"San Diego, CA - Loma Palisades",$635K
October 2021,"San Diego, CA - Loma Palisades",$560K
November 2021,"San Diego, CA - Loma Palisades",$560K
February 2012,"San Diego, CA - Loma Alta",$189K
March 2012,"San Diego, CA - Loma Alta",$220K
April 2012,"San Diego, CA - Loma Alta",$237K
May 2012,"San Diego, CA - Loma Alta",$229K
June 2012,"San Diego, CA - Loma Alta",$178K
July 2012,"San Diego, CA - Loma Alta",$205K
August 2012,"San Diego, CA - Loma Alta",$220K
September 2012,"San Diego, CA - Loma Alta",$230K
October 2012,"San Diego, CA - Loma Alta",$200K
November 2012,"San Diego, CA - Loma Alta",$230K
December 2012,"San Diego, CA - Loma Alta",$250K
January 2013,"San Diego, CA - Loma Alta",$445K
February 2013,"San Diego, CA - Loma Alta",$460K
March 2013,"San Diego, CA - Loma Alta",$471K
April 2013,"San Diego, CA - Loma Alta",$386K
May 2013,"San Diego, CA - Loma Alta",$397K
June 2013,"San Diego, CA - Loma Alta",$391K
July 2013,"San Diego, CA - Loma Alta",$404K
August 2013,"San Diego, CA - Loma Alta",$417K
September 2013,"San Diego, CA - Loma Alta",$283K
October 2013,"San Diego, CA - Loma Alta",$299K
November 2013,"San Diego, CA - Loma Alta",$299K
December 2013,"San Diego, CA - Loma Alta",$303K
January 2014,"San Diego, CA - Loma Alta",$305K
February 2014,"San Diego, CA - Loma Alta",$315K
March 2014,"San Diego, CA - Loma Alta",$335K
April 2014,"San Diego, CA - Loma Alta",$479K
May 2014,"San Diego, CA - Loma Alta",$479K
June 2014,"San Diego, CA - Loma Alta",$395K
July 2014,"San Diego, CA - Loma Alta",$345K
August 2014,"San Diego, CA - Loma Alta",$345K
September 2014,"San Diego, CA - Loma Alta",$440K
October 2014,"San Diego, CA - Loma Alta",$335K
November 2014,"San Diego, CA - Loma Alta",$330K
December 2014,"San Diego, CA - Loma Alta",$330K
January 2015,"San Diego, CA - Loma Alta",$217K
February 2015,"San Diego, CA - Loma Alta",$429K
March 2015,"San Diego, CA - Loma Alta",$335K
April 2015,"San Diego, CA - Loma Alta",$469K
May 2015,"San Diego, CA - Loma Alta",$538K
June 2015,"San Diego, CA - Loma Alta",$538K
July 2015,"San Diego, CA - Loma Alta",$596K
August 2015,"San Diego, CA - Loma Alta",$683K
September 2015,"San Diego, CA - Loma Alta",$615K
October 2015,"San Diego, CA - Loma Alta",$350K
November 2015,"San Diego, CA - Loma Alta",$305K
December 2015,"San Diego, CA - Loma Alta",$335K
January 2016,"San Diego, CA - Loma Alta",$426K
February 2016,"San Diego, CA - Loma Alta",$395K
March 2016,"San Diego, CA - Loma Alta",$352K
April 2016,"San Diego, CA - Loma Alta",$351K
May 2016,"San Diego, CA - Loma Alta",$372K
June 2016,"San Diego, CA - Loma Alta",$375K
July 2016,"San Diego, CA - Loma Alta",$380K
August 2016,"San Diego, CA - Loma Alta",$398K
September 2016,"San Diego, CA - Loma Alta",$292K
October 2016,"San Diego, CA - Loma Alta",$324K
November 2016,"San Diego, CA - Loma Alta",$374K
December 2016,"San Diego, CA - Loma Alta",$395K
January 2017,"San Diego, CA - Loma Alta",$405K
February 2017,"San Diego, CA - Loma Alta",$405K
March 2017,"San Diego, CA - Loma Alta",$373K
April 2017,"San Diego, CA - Loma Alta",$370K
May 2017,"San Diego, CA - Loma Alta",$363K
June 2017,"San Diego, CA - Loma Alta",$388K
July 2017,"San Diego, CA - Loma Alta",$409K
August 2017,"San Diego, CA - Loma Alta",$409K
September 2017,"San Diego, CA - Loma Alta",$410K
October 2017,"San Diego, CA - Loma Alta",$402K
November 2017,"San Diego, CA - Loma Alta",$422K
December 2017,"San Diego, CA - Loma Alta",$402K
January 2018,"San Diego, CA - Loma Alta",$438K
February 2018,"San Diego, CA - Loma Alta",$425K
March 2018,"San Diego, CA - Loma Alta",$573K
April 2018,"San Diego, CA - Loma Alta",$445K
May 2018,"San Diego, CA - Loma Alta",$444K
June 2018,"San Diego, CA - Loma Alta",$445K
July 2018,"San Diego, CA - Loma Alta",$455K
August 2018,"San Diego, CA - Loma Alta",$460K
September 2018,"San Diego, CA - Loma Alta",$451K
October 2018,"San Diego, CA - Loma Alta",$454K
November 2018,"San Diego, CA - Loma Alta",$453K
December 2018,"San Diego, CA - Loma Alta",$453K
January 2019,"San Diego, CA - Loma Alta",$450K
February 2019,"San Diego, CA - Loma Alta",$314K
March 2019,"San Diego, CA - Loma Alta",$299K
April 2019,"San Diego, CA - Loma Alta",$403K
May 2019,"San Diego, CA - Loma Alta",$439K
June 2019,"San Diego, CA - Loma Alta",$439K
July 2019,"San Diego, CA - Loma Alta",$445K
August 2019,"San Diego, CA - Loma Alta",$445K
September 2019,"San Diego, CA - Loma Alta",$445K
October 2019,"San Diego, CA - Loma Alta",$420K
